device,building,floor,room,type,power,date,from_time,to_time,no_of_people,time_stayed_mins
Microwave,1,6,,outdoor,1171,2018-01-29,09:00:00,10:00:00,2,28
AC,3,6,602.0,indoor,1947,2018-01-29,10:00:00,11:00:00,7,14
AC,1,6,604.0,indoor,1836,2018-01-29,11:00:00,12:00:00,5,30
Heater,1,4,406.0,indoor,2039,2018-01-29,12:00:00,13:00:00,9,3
Refridgerator,3,2,,outdoor,266,2018-01-29,13:00:00,14:00:00,4,26
Microwave,2,8,,outdoor,1735,2018-01-29,14:00:00,15:00:00,3,17
AC,3,6,602.0,indoor,1980,2018-01-29,15:00:00,16:00:00,1,16
Television,1,6,,outdoor,256,2018-01-29,16:00:00,17:00:00,3,20
Television,3,7,705.0,indoor,269,2018-01-29,17:00:00,18:00:00,10,22
Microwave,2,1,,outdoor,1060,2018-01-29,18:00:00,19:00:00,6,8
Heater,1,7,,outdoor,2032,2018-01-29,19:00:00,20:00:00,2,30
Refridgerator,2,2,204.0,indoor,172,2018-01-29,20:00:00,21:00:00,3,17
Heater,1,5,,outdoor,2229,2018-01-29,21:00:00,22:00:00,10,27
AC,1,10,,outdoor,3881,2018-01-29,22:00:00,23:00:00,6,19
AC,2,7,,outdoor,2892,2018-01-29,23:00:00,00:00:00,5,27
Lights,2,10,1003.0,indoor,1674,2018-01-30,00:00:00,01:00:00,2,14
AC,2,1,104.0,indoor,1164,2018-01-30,01:00:00,02:00:00,6,8
Computer,1,7,,outdoor,409,2018-01-30,02:00:00,03:00:00,7,28
Television,1,7,,outdoor,227,2018-01-30,03:00:00,04:00:00,0,25
Refridgerator,1,9,901.0,indoor,133,2018-01-30,04:00:00,05:00:00,8,25
Heater,2,3,303.0,indoor,2283,2018-01-30,05:00:00,06:00:00,3,0
Refridgerator,3,4,401.0,indoor,140,2018-01-30,06:00:00,07:00:00,9,1
Microwave,2,8,804.0,indoor,1265,2018-01-30,07:00:00,08:00:00,10,30
Computer,3,4,407.0,indoor,351,2018-01-30,08:00:00,09:00:00,2,15
Heater,3,5,501.0,indoor,1613,2018-01-30,09:00:00,10:00:00,4,14
Microwave,3,7,706.0,indoor,1463,2018-01-30,10:00:00,11:00:00,9,25
Refridgerator,1,1,103.0,indoor,224,2018-01-30,11:00:00,12:00:00,0,3
Refridgerator,3,8,,outdoor,257,2018-01-30,12:00:00,13:00:00,0,3
Microwave,1,9,906.0,indoor,1440,2018-01-30,13:00:00,14:00:00,9,0
Television,2,5,,outdoor,289,2018-01-30,14:00:00,15:00:00,1,26
AC,2,8,,outdoor,4253,2018-01-30,15:00:00,16:00:00,4,28
Microwave,3,6,601.0,indoor,1303,2018-01-30,16:00:00,17:00:00,5,27
Television,3,2,204.0,indoor,216,2018-01-30,17:00:00,18:00:00,1,13
Heater,3,10,,outdoor,1994,2018-01-30,18:00:00,19:00:00,3,22
Computer,2,3,302.0,indoor,437,2018-01-30,19:00:00,20:00:00,3,24
Lights,1,6,601.0,indoor,1581,2018-01-30,20:00:00,21:00:00,1,24
Microwave,3,4,401.0,indoor,1193,2018-01-30,21:00:00,22:00:00,10,10
Refridgerator,2,3,,outdoor,212,2018-01-30,22:00:00,23:00:00,3,21
AC,1,6,,outdoor,2558,2018-01-30,23:00:00,00:00:00,1,9
Television,2,3,,outdoor,256,2018-01-31,00:00:00,01:00:00,4,13
Computer,2,3,304.0,indoor,480,2018-01-31,01:00:00,02:00:00,5,14
Television,1,7,704.0,indoor,227,2018-01-31,02:00:00,03:00:00,3,25
AC,2,6,,outdoor,2821,2018-01-31,03:00:00,04:00:00,6,17
Refridgerator,2,1,,outdoor,166,2018-01-31,04:00:00,05:00:00,1,24
Lights,1,1,,outdoor,4833,2018-01-31,05:00:00,06:00:00,2,17
Television,1,2,203.0,indoor,229,2018-01-31,06:00:00,07:00:00,10,8
AC,1,1,104.0,indoor,1861,2018-01-31,07:00:00,08:00:00,7,4
Computer,2,8,,outdoor,492,2018-01-31,08:00:00,09:00:00,1,15
Microwave,2,5,506.0,indoor,1552,2018-01-31,09:00:00,10:00:00,2,6
Lights,3,6,,outdoor,4112,2018-01-31,10:00:00,11:00:00,2,0
AC,2,6,601.0,indoor,1118,2018-01-31,11:00:00,12:00:00,3,24
Microwave,3,2,207.0,indoor,1304,2018-01-31,12:00:00,13:00:00,0,25
AC,2,8,807.0,indoor,1658,2018-01-31,13:00:00,14:00:00,1,18
Computer,2,2,206.0,indoor,419,2018-01-31,14:00:00,15:00:00,6,12
AC,2,8,801.0,indoor,1763,2018-01-31,15:00:00,16:00:00,3,21
Television,3,10,1007.0,indoor,250,2018-01-31,16:00:00,17:00:00,8,28
AC,1,4,403.0,indoor,1697,2018-01-31,17:00:00,18:00:00,6,8
Microwave,1,6,606.0,indoor,1987,2018-01-31,18:00:00,19:00:00,10,1
Refridgerator,2,3,306.0,indoor,229,2018-01-31,19:00:00,20:00:00,3,30
Microwave,1,6,,outdoor,1485,2018-01-31,20:00:00,21:00:00,5,30
Heater,1,5,,outdoor,1520,2018-01-31,21:00:00,22:00:00,1,2
AC,2,5,,outdoor,4423,2018-01-31,22:00:00,23:00:00,0,15
Computer,2,5,,outdoor,463,2018-01-31,23:00:00,00:00:00,5,14
